cancel	huỷ bỏ
learn	học hỏi
neck	cái cổ
logical	hợp lý
slam	sập
characterize	đặc trưng
weird	kỳ dị
ridiculous	nực cười
severe	nghiêm trọng
emerge	hiện ra
exploit	khai thác
sweet	ngọt
slap	tát
anniversary	ngày kỷ niệm
steeply	dốc, cheo leo
screening	kiểm tra
eager	hăng hái
evidence	chứng cớ
well known	nổi tiếng, được nhiều người biết đến
republic	nước cộng hòa
historical	lịch sử
official	chính thức
till until	cho đến khi, tới lúc mà
ethics	đạo đức
spring	mùa xuân
assessment	thẩm định, lượng định, đánh giá
autonomy	tự trị
should modal	nên
fitness	sự tập thể dục
leave	rời khỏi
excluding	ngoài ra, trừ ra
cottage	nhà tranh
discrimination	kỳ thị
female	giống cái
faint	mờ nhạt
minister	bộ trưởng, mục sư
cruel	hung ác
need	nhu cầu
shade	bóng râm
originally	ban đầu
instead of	thay cho
often	thường xuyên
gather	tụ họp
jail	nhà giam
insist	năn nỉ
kindly	tử tế, tốt bụng
volume	âm lượng
guideline	hướng dẫn
loose	lỏng lẻo
hardly	khó khăn
sailing	sự đi thuyền
useful	hữu ích
private	riêng tư
baggage	hành lý
technical	kỹ thuật
companion	đồng hành
ride	dap xe
finely	đẹp đẽ, tế nhị, cao thượng
desperately	tuyệt vọng
precisely	đúng
stretch	căng ra
accomplish	hoàn thành
engine	động cơ
irritate	làm phát cáu, chọc tức
responsible	chịu trách nhiệm
medal	huy chương
end	kết thúc
photographer	nhiếp ảnh gia
satellite	vệ tinh
bullet	đạn
forty	bốn mươi
mistake	sai lầm
rich	giàu có
rice	cơm
praise	ca ngợi
forum	diễn đàn
scissors	cái kéo
significance	tầm quan trọng
special	đặc biệt
horizon	đường chân trời
environment	môi trường
DNA	DNA
airplane	Máy bay
sweat	mồ hôi
Indian	người Ấn Độ
progressive	cấp tiến
pronounce	tuyên bố, thông báo, phát âm
family	gia đình
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
fall asleep	ngủ thiếp đi
swear	xin thề
atmosphere	không khí
gift	quà tặng
decorate	trang trí
slightly	khinh bỉ
career	nghề nghiệp
education	giáo dục
occupation	nghề nghiệp
charter	điều lệ
release	giải phóng
toll	số điện thoại
moral	đạo đức
newly	mới
gradually	dần dần
rehabilitation	phục hồi chức năng
explode	đập tan , làm nổ, nổ
brave	can đảm
narrow	hẹp
judge	thẩm phán
darkness	bóng tối
manipulate	vận dụng
similar	giống
ecological	sinh thái
partnership	hợp tác
shape	hình dạng
practitioner	học viên
specify	chỉ định
forth	ra
driver	người lái xe
compose	soạn, biên soạn
seventh	thứ bảy
Olympics	Thế vận hội
singer	ca sĩ
tone	tấn
against	chống lại
skilfully	tài giỏi, khéo tay
explo de	nổ tung
cell	tế bào
holiday	ngày lễ
swell	sưng lên
manufacturer	nhà chế tạo
remind	nhắc lại
valid	có hiệu lực
encourage	khuyến khích
vacuum	Khoảng chân không
era	kỷ nguyên
potato	khoai tây
administer	quản lý
share	chia sẻ
deficit	thâm hụt
elegant	thanh lịch
shark	cá mập
thoroughly	triệt để
honestly	thành thật
grandmother	bà ngoại
television	tivi
chairman	Chủ tịch
sharp	nhọn
slip	trượt
species	loài
logic	logic
take sth off	cởi, bỏ cái gì, lấy đi cái gì
sanction (PL)	sự trừng phạt (PL)
shake	lắc
cent	đồng xu
honor	tôn vinh
spice	gia vị
screen	màn
naked	trần truồng
trial	thử nghiệm
perception	nhận thức
undertake	thực hiện
etc	vv
indigenous	bản địa
bureau	phòng làm việc
entrance	cổng vào
net	mạng lưới
cable	cáp
nasty	bẩn thỉu
intense	cường độ cao
new	Mới
alphabetical	thuộc bảng chứ cái
below	phía dưới
estate	bất động sản
articulate	khớp nối
shall	sẽ
spicy	có gia vị
tool	dụng cụ
driving	điều khiển
yell	hét lên
secular	thế tục
tribe	bộ lạc
supervisor	người giám sát
boundary	ranh giới
shame	xấu hổ
supportive	hỗ trợ
mandate	ủy nhiệm
unexpectedly	bất ngờ, gây ngạc nhiên
Mr	Ông
Ms	Cô
elderly	người lớn tuổi
financial	tài chính
keen on	say mê, ưa thích
media	phương tiện truyền thông
slot	khe
trick	lừa
around	xung quanh
running	đang chạy
define	định nghĩa
talented	có tài
dictate	điều khiển
OK	được
photocopy	bản sao chụp; sao chụp
render	render
frontier	biên giới
relieve	giải tỏa
drawer	ngăn kéo
employment	việc làm
requirement	yêu cầu
transport	vận chuyển
pencil	bút chì
specific	riêng
super	siêu
PC	PC
engage	thuê
publicyhouse	quán rượu, tiệm rượu
switch  off	ngắt điện
whisper	thì thầm
needle	cây kim
strategy	chiến lược
PM	PM
risky	rủi ro
long-term	dài hạn
territory	lãnh thổ
amendment	sửa đổi
full-time	toàn thời gian
ring	nhẫn
maintain	duy trì
shift	sự thay đổi
couch	đi văng
echo	echo
angrily	tức giận, giận dữ
expertise	chuyên môn
bargain	sự mặc cả, sự giao kèo mua bán
cheese	phô mai
professional	chuyên nghiệp
locally	có tính chất địa phương, cục bộ
accusation	tố cáo
differently	khác
shoulder	vai
dance	nhảy
fully	đầy đủ
so that	để, để cho, để mà
dining	ăn uống
remain	vẫn còn
expected	kỳ vọng
amaze	làm ngạc nhiên, làm sửng sốt
toss	quăng
eye	mắt
envelope	phong bì
himself	bản thân anh ấy
dictionary	từ điển
mystery	huyền bí
slow	chậm
immoral	trái đạo đức, luân lý; xấu xa
deposit	tiền gửi
flash	đèn flash
continent	lục địa
might modal	qk. may có thể, có lẽ
complexity	phức tạp
maybe	có lẽ
another	khác
automatically	tự động
guarantee	Bảo hành
enemy	kẻ thù
recommend	giới thiệu
gray	màu xám
amused	vui thích
helicopter	máy bay trực thăng
vendor	nhà cung cấp
advertisement	quảng cáo
disabled	tàn tật
attribute	thuộc tính
mechanism	cơ chế
cemetery	Nghĩa trang
genetic	di truyền
triumph	triumph
horror	kinh dị
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
silly	ngớ ngẩn
gram	đậu xanh
black	đen
knitted	được đan, được thêu
riot	bạo loạn
nest	tổ
supporter	người ủng hộ
tour	chuyến du lịch
persuade	truy vấn
consensus	sự đồng thuận
boring	nhàm chán
such	như là
classic	cổ điển
absolute	tuyệt đối
describe	miêu tả
grab	vồ lấy
suck	hút
technological	công nghệ
TV	TV
wealthy	giàu có
administration	quản trị
jazz	jazz
genuinely	thành thật, chân thật
developing	phát triển
remains	đồ thừa, cái còn lại
incorporate	kết hợp
boast	khoe khoan
operator	nhà điều hành
research	nghiên cứu
openly	cởi mở
white	trắng
furniture	đồ nội thất
counterpart	đối tác
segment	phần
stripe	sọc, vằn, viền
huge	khổng lồ
c rack	bẻ khóa
attractive	hấp dẫn
imagine	tưởng tượng
town	thị trấn
might	có thể
engineering	kỹ thuật
girl	con gái
mentally	tinh thần
decrease	giảm bớt
whatever	bất cứ điều gì
museum	viện bảo tàng
embarrassing	làm lúng túng, ngăn trở
aloud	lớn tiếng, to tiếng
clothing	quần áo
next	kế tiếp
blind	mù quáng
nod	gật đầu
color	màu
hidden	ẩn
import	nhập khẩu
occupy	chiếm
string	chuỗi
submit	đệ trình
nearly	Gần
blink	chớp mắt
summit	hội nghị thượng đỉnh
button	nút
conclusion	phần kết luận
nor	cũng không
not	không phải
central	Trung tâm
impose	áp đặt
now	hiện nay
statement	tuyên bố
and/or	và / hoặc
backyard	sân sau
factor	hệ số
faintly	nhút nhát, yếu ớt
in spite of	mặc dù, bất chấp
news	Tin tức
delivery	chuyển
rack	giá đỡ
election	cuộc bầu cử
green	màu xanh lá
race	cuộc đua
effectively	có hiệu quả
greet	chào hỏi
war	chiến tranh
sculpture	điêu khắc
way	đường
grey	xám, hoa râm
sensation	cảm giác
what	gì
urban	đô thị
detailed	chi tiết
furthermore	hơn nữa
refer	tham khảo
risk	rủi ro
attempted	cố gắng, thử
window	cửa sổ
flame	ngọn lửa
rise	tăng lên
container	thùng đựng hàng
play	chơi
subsidy	trợ cấp
criteria	tiêu chuẩn
quickly	Mau
decide	quyết định
nearby	gần đó
when	khi nào
modest	khiêm tốn
fan	quạt
crush	nghiền nát
hatred	lòng căm thì, sự căm ghét
far	xa
fat	mập
catch	bắt lấy
plan	kế hoạch
promising	hứa hẹn
metre	mét
give	đưa cho
counsel	lời khuyên
liver	Gan
double	gấp đôi
suicide	tự tử
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
explicit	rõ ràng
comfortable	Thoải mái
determined	đã được xác định, đã được xác định rõ
utilize	sử dụng
prevail	chiếm ưu thế
completely	hoàn toàn
suit	bộ đồ
chocolate	sô cô la
denial	từ chối
study	học
portion	phần
direct	thẳng thắn
fever	sốt
pick sth up	cuốc, vỡ, xé
gain	thu được
supermarket	siêu thị
confuse	nhầm lẫn
modern	hiện đại
web	web
occasionally	thỉnh thoảng
tragic	bi kịch
physician	bác sĩ
grin	nụ cười
grip	nắm chặt
explore	khám phá
wet	ướt
electricity	điện
climate	khí hậu
continuously	liên tục, liên tiếp
great	tuyệt quá
wrong	sai rồi
criticize	chỉ trích
shirt	áo sơ mi
further, furthest	cấp so sánh của far
organization	cơ quan
pleased	vừa lòng
rage	giận dữ
width	tính chất rộng, bề rộng
certain	chắc chắn
board	bảng
economic	thuộc kinh tế
statistics	số liệu thống kê
stuff	đồ đạc
indicator	chỉ thị
monkey	con khỉ
arrest	bắt giữ
distinction	phân biệt
widow	Người đàn bà góa
disability	khuyết tật
fee	chi phí
section	phần
used	đã sử dụng
constantly	liên tục
nut	hạt
retirement	nghỉ hưu
whip	roi da
rumor	tin đồn
protocol	giao thức
stressed	bị căng thẳng, bị ép, bị căng
whale	cá voi
provoke	kích động
threaten	hăm dọa
few	vài
rhetoric	Hùng biện
otherwise	nếu không thì
strain	sự căng thẳng, quá tải
licence	bằng, chứng chỉ, bằng cử nhân; sự cho phép
rain	mưa
hunt	săn bắn
visible	có thể nhìn thấy
rail	đường sắt
survival	Sự sống còn
plea	lời bào chữa
inner	bên trong
pleasing	mang lại niềm vui thích; dễ chịu
solely	chỉ
market	thị trường
keen	sắc, bén
personally	cá nhân
marker	đánh dấu
outside	ở ngoài
effect	hiệu ứng
keep	giữ
cruise	du lịch
elementary	tiểu học
producer	nhà sản xuất
topic	đề tài
perceive	nhận thức
sugar	đường
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
option	Tùy chọn
who	người nào
weigh	cân
politics	chính trị
game	trò chơi
unexpected	bất ngờ
crucial	quan trọng
contribute	Góp phần
faith	đức tin
why	tại sao
remark	nhận xét
chỉ huycomment	lời bình luận, lời chú giải; bình luận, phê bình, chú thích,
necessarily	nhất thiết
integrated	tích hợp
unemployment employment	sự thất nghiệp, tình trạng thất nghiệp
relaxed	thanh thản, thoải mái
alone	một mình
candidate	ứng viên
donor	nhà tài trợ
along	dọc theo
parallel	song song, tương đương
structural	cấu trúc
dialogue	đối thoại
peanut	đậu phụng
diet	chế độ ăn
unhappy happy	buồn rầu, khổ sở
win	thắng lợi
lawyer	luật sư
soccer	bóng đá
butter	bơ
handful	ít
electric	điện
stimulus	kích thích kinh tế
unfairly	gian lận, không công bằng; bất lợi
designer	nhà thiết kế
deal with	giải quyết
diminish	suy giảm
shine	tỏa sáng
administrative	hành chính
rely on	tin vào, tin cậy, tin tưởng vào
various	nhiều
attention	chú ý
shiny	sáng chói, bóng
headache	đau đầu
visit	chuyến thăm
reduction	giảm
user	người dùng
unfold	mở ra
extent	phạm vi
parent	cha mẹ
tie sth up	có quan hệ mật thiết, gắn chặt
bring	mang đến
sauce	Nước xốt
equity	công bằng
fit	Phù hợp
robot	robot
fix	sửa chữa
colonial	thuộc địa
honest	thật thà
manufacturing	chế tạo
assumption	giả thiết
giant	khổng lồ
pension	lương hưu
rank	cấp
outlet	đầu ra
grandchild	cháu ngoại
addition	thêm vào
ad	quảng cáo
carve	khắc chạm
gang	băng nhóm
grow	lớn lên
sure	chắc chắn rồi
excited	bị kích thích
shrink	co lại
ah	ah
ancestor	tổ tiên
league	liên đoàn
former	trước đây
panic	hoảng loạn
extend	mở rộng
fold	gập lại
as	như
at	tại
interpretation	diễn dịch
peace	hòa bình
folk	dân gian
competitive	cạnh tranh
consideration	xem xét
simultaneously	đồng thời
brother	em trai
hurt	đau
bb	d
be	được
prove	chứng minh
admire	ngưỡng mộ
consequently	hậu quả là
tomato	cà chua
virus	virus
rape	hãm hiếp
search	Tìm kiếm
metaphor	phép ẩn dụ
fool	ngu xuẩn
sudden	đột nhiên
by	bởi
popularity	phổ biến
genre	thể loại
whom	ai
cardboard	bìa cứng, các tông
panel	bảng điều khiển
foot	chân
tooth	răng
humanity	nhân loại
innovation	đổi mới
salty	chứ vị muối, có muối, mặn
charge	sạc điện
outstanding	nổi bật
familiar	quen
breathe	thở
flu	bệnh cúm
food	món ăn
survivor	người sống sót
actor	diễn viên
tropical	nhiệt đới
good (PL)	tốt (PL)
fly	bay
partner	cộng sự
plunge	lao xuống
voter	cử tri
freely	tự do
interview	phỏng vấn
essential	Cần thiết
good for	có lợi cho
scare	sợ hãi
unwilling, unwillingly willing	không muốn, không có ý định
language	ngôn ngữ
do	làm
observe	quan sát
meaningful	có ý nghĩa
rare	hiếm
warning	cảnh báo
exclude	loại trừ
make sth up	làm thành, cấu thành, gộp thành
scary	đáng sợ
creativity	sáng tạo
criticism	sự chỉ trích
heating	sự đốt nóng, sự làm nóng
commissioner	ủy viên
wow	wow
which	mà
image	hình ảnh
on board	trên tàu thủy
ribbon	ribbon
portray	miêu tả
confrontation	đối đầu
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
profound	thâm thúy
marble	đá hoa
never	không bao giờ
celebration	lễ kỷ niệm
knife	dao
grow up	lớn lên, trưởng thành
piece	cái
oddly	kỳ quặc, kỳ cục, lẻ
burst	nổ
carry	mang
elephant	con voi
refrigerator	tủ lạnh
necessity	sự cần thiết
fog	sương mù
frame	khung
compelling	thuyết phục
origin	gốc
vocal	tiếng hát
for	cho
mistaken	sai lầm, hiểu lầm
content	Nội dung
burden	gánh nặng
random	ngẫu nhiên
perhaps	có lẽ
personality	nhân cách
plot	âm mưu
rate	tỷ lệ
skill	kỹ năng
oak	cây sồi
trouble	rắc rối
divide	chia
class	lớp học
contend	đấu tranh
reporting	Báo cáo
digital	kỹ thuật số
gamble	đánh bạc; cuộc đánh bạc
go	đi
counter	quầy tính tiền
rhythm	nhịp
fork	cái nĩa
form	hình thức
management	sự quản lý
publish	công bố
ha	ha
unlucky	không gặp may, bất hạnh
correspondent	phóng viên
gate	cánh cổng
he	anh ta
significantly	đáng kể
assign	chỉ định
promotion	quảng cáo
withdraw	thu hồi
feather	lông vũ
hi	Chào
very	rất
decade	thập kỷ
practice	thực hành
congress	đại hội, hội nghị, quốc hội
divine	thần thánh
welfare	phúc lợi
legislative	lập pháp
else	khác
four	bốn
contemplate	thưởng ngoạn
vessel	tàu
context	bối cảnh
easily	dễ dàng
drag	kéo
ie	nghĩa là
if	nếu
bathroom	phòng tắm
burnt	bị đốt, bị cháy, khê; rám nắng, sạm
chemist’s	hóa học, môn hóa học, ngành hóa học
violently	mãnh liệt, dữ dội
encouraging	khuyến khích
likely	có khả năng
issue	vấn đề
in	trong
literally	nghĩa đen
lower	thấp hơn
metal	kim loại
index	mục lục
ok  exclamation,	đồng ý, tán thành
doorway	lối vào
it	nó
fry	rán, chiên; thịt rán
announce	tuyên bố
odd	lẻ
somebody	có ai
conservation	bảo tồn
traditional	truyên thông
lively	sống, sinh động
contrast	tương phản
continuing	tiếp tục
annoying	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
become	trở nên
eventually	cuối cùng
inflation	lạm phát
settlement	giải quyết
Israeli	Israeli
literature	văn chương
library	thư viện
sphere	quả cầu
ability	có khả năng
camera	Máy ảnh
at least	ít ra, ít nhất, chí ít
belief	niềm tin
delight	Hân hoan
sadly	một cách buồn bã, đáng buồn là, không may mà
immigration	nhập cư
suggestion	gợi ý
draw	vẽ tranh
off	tắt
generally	nói chung là
knee	đầu gối
first det	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
wooden	bằng gỗ
oral	miệng
complete	hoàn thành
conscious	có ý thức
fun	vui vẻ
transaction	Giao dịch
accomplishment	hoàn thành
fur	lông thú
pants	quần lót, đùi
political	chính trị
while	trong khi
second	thứ hai
that	cái đó
edge	cạnh
faster	nhanh hơn
ruling	phán quyết
unconscious conscious	bất tỉnh, ngất đi
skirt	váy
sufficient	đủ
than	hơn
limit	giới hạn
me	tôi
claim	yêu cầu
credibility	uy tín
widespread	phổ biến rộng rãi
communication	giao tiếp
Palestinian	Palestine
chronic	mãn tính
fasten	buộc, trói
tolerance	lòng khoan dung
toxic	chất độc
contest	Cuộc thi
author	tác giả
meter	mét
dirt	bẩn
TRUE	THẬT
diagnosis	chẩn đoán
feeling	cảm giác
my	tôi
plus	thêm
expansion	sự bành trướng
coat	áo khoác
entry	nhập cảnh
license	giấy phép
disk	đĩa
expand	mở rộng
headquarters	trụ sở chính
dish	món ăn
dream	mơ tưởng
fiscal	tài chính
gaze	nhìn chằm chằm
essay	tiểu luận
prediction	dự đoán
coal	than
survey	khảo sát
devastating	tàn phá
disc	đĩa
plug	nút
bride	cô dâu
heat	nhiệt
no	Không
code	mã
legacy	di sản
hammer	búa
brightly	sáng chói, tươi
student	sinh viên
careful	cẩn thận
ideology	hệ tư tưởng
seal	niêm phong
mixed	pha trộn
investigate	điều tra
storage	lưu trữ
illusion	ảo giác
head	cái đầu
investigator	điều tra viên
considerable	đáng kể
oil	dầu
productivity	năng suất
of	của
heal	chữa lành
reserve	dự trữ
oh	Oh
somehow	bằng cách nào đó
brick	gạch
ok	được
sympathy	cảm thông
fight	chiến đấu
hear	Nghe
occupied	đang sử dụng, đầy
rescue	cứu hộ
on	trên
skilful	tài giỏi, khéo tay
brief	ngắn gọn
keyboard	bàn phím
pretty	đẹp
or	hoặc là
recover	bình phục
determine	mục đích
considerably	đáng kể
homeless	Vô gia cư
betting	sự đánh cuộc
cousin	anh chị em họ
teaspoon	muỗng cà phê
intelligent	thông minh
whilst	trong lúc, trong khi
equip	Trang bị
painting	bức vẽ
radiation	sự bức xạ
Christian	Christian
spiritual	tinh thần
unreasonable reasonable	vô lý, vượt quá giới hạn của cái hợp lý
increasingly	ngày càng
salad	rau xà lách
strategic	chiến lược
nation	quốc gia
readily	dễ dàng
rocket	tên lửa
convenience	tiện
determination	sự quyết tâm
discipline	kỷ luật
unload load	tháo, dỡ
fucking	fucking
emission	khí thải
extremely	vô cùng
freeze	Đông cứng
province	tỉnh
inevitably	chắc chắn
clever	lanh lợi, thông minh. tài giỏi, khéo léo
estimate	ước tính
brand	nhãn hiệu
put  out	tắt, dập tắt
recent	gần đây
they	họ
proposal	đề nghị
inevitable	chắc chắn xảy ra
consciousness	ý thức
edit	chỉnh sửa
old	cũ
frustration	thất vọng
them	họ
then	sau đó
ancient	xưa
seat	ghế
re	lại
cognitive	nhận thức
adopt	thông qua
attorney	luật sư
wander	đi lang thang
twelve	mười hai
oppose	phản đối
bridge	cầu
starting	bắt đầu
device	thiết bị
belly	bụng
conservative	thận trọng
conference	hội nghị
activity	Hoạt động
seed	giống
cabin	cabin
seek	tìm kiếm
seem	hình như
heel	gót chân
variety	đa dạng
disturb	xáo trộn
lecture	bài học
persist	tồn tại
pump	máy bơm
so	vì thế
unemployed	thất nghiệp; không dùng, không sử dụng được
accountability	trách nhiệm giải trình
email	thư điện tử; gửi thư điện tử
apart	xa nhau
teenager	thiếu niên
calendar	lịch
decision	phán quyết
necessary	cần thiết
starter	bắt đầu
one	một
garage	gara
closet	tủ quần áo
consist of	gồm có
speculate	suy đoán
ideally	lý tưởng, đúng như lý tưởng
closer	gần hơn
flower	hoa
monster	quái vật
single	Độc thân
pull	kéo
teammate	đồng đội
dealer	người buôn bán
assist	hỗ trợ
closed	đóng
to	đến
Dutch	Người Hà Lan
partially	một phần
undergraduate	đại học
makeup	trang điểm
country	Quốc gia
commercial	thương mại
joint	chung
aide	trợ lý
remarkably	đáng chú ý, đáng để ý; khác thường
separate	tách rời
reasonable	hợp lý
willing	sẵn lòng
ruler	người cai trị, người trị vì; thước kẻ
thank you	cảm ơn bạn
amazing	kinh ngạc
regularly	thường xuyên
Supreme	Tối cao
uh	uh
awareness	nhận thức
chairman, chairwoman	chủ tịch, chủ tọa
military	quân đội
reluctant	lưỡng lự
up	lên
us	chúng tôi
ensure	đảm bảo
organism	cơ thể
usual	thường lệ
epidemic	bệnh dịch
this	điều này
reasonably	hợp lý
suppose	giả sử
thin	gầy
flavor	hương vị
remarkable	đáng chú ý
brake	phanh
opt	opt
failure	thất bại
solve	giải quyết
know	biết
knot	cái nơ; điểm nút, điểm trung tâm
Internet	Internet
region	khu vực
frightened	hoảng sợ, khiếp sợ
support	ủng hộ
vs	vs
coin	đồng tiền
drop	rơi vãi
euro	đơn vị tiền tệ của liên minh châu âu
questionnaire	bảng câu hỏi
shaped	có hình dáng được chỉ rõ
destination	nơi đến
privacy	riêng tư
cold	lạnh
learning	học tập
vertical	theo chiều dọc
pure	nguyên chất
approving	tán thành, đồng ý, chấp thuận
damp	ẩm, ẩm ướt, ẩm thấp
life	đời sống
we	chúng tôi
willingly	sẵn lòng, tự nguyện
honey	mật ong
similarity	sự giống nhau
examination	kiểm tra
gap	lỗ hổng
screw	Đinh ốc
gas	khí đốt
emphasize	nhấn mạnh
set fire to	đốt cháy cái gì
gay	gay
slight	nhẹ
previous	Trước
wide	rộng
regime	chế độ
teach	dạy
reading	đọc hiểu
argue	tranh luận
damn	chỉ trích
superior	cấp trên
succeed	thành công
compensation	đền bù
location	vị trí
kilometre	kilômet
ecosystem	hệ sinh thái
software	phần mềm
seminar	hội thảo
competition	cuộc thi
none	không ai
type	kiểu
april	tháng tư
beyond	vượt ra ngoài
hell	Địa ngục
pupil	học sinh
practise	thực hành, tập luyện
problem	vấn đề
hazard	nguy hiểm
terms	điều kiện
unemployed employ	không dùng, thất nghiệp
depressed	suy sụp
voluntary	tình nguyện
connection	kết nối
deeply	sâu sắc
asleep	ngủ
proof	bằng chứng
abandoned	bị bỏ rơi, bị ruồng bỏ
presence	sự hiện diện
phase	giai đoạn
surrounding	xung quanh
inability	sự bất lực, bất tài
swearing	lời thề, lời nguyền rủa, lời thề hứa
researcher	nghiên cứu viên
may modal	có thể, có lẽ
method	phương pháp
wife	người vợ
contract	hợp đồng
conclude	kết luận
come	đến
leather	da
push	đẩy
exist	hiện hữu
innovative	sáng tạo
insight	cái nhìn sâu sắc
freshly	tươi mát, khỏe khoắn
fabric	vải
revolutionary	cách mạng
exact	chính xác
unemployment	thất nghiệp
indoor	trong nhà
lift	thang máy
nationwide	toàn quốc
force	lực lượng
sexual	tình dục
south	miền Nam
north	Bắc
German	tiếng Đức
distribution	phân phối
nervously	bồn chồn, lo lắng
our	của chúng ta
tyre	lốp, vỏ xe
Mrs	Bà
capacity	sức chứa
cope	đối phó
out	ngoài
confess	xưng
ghost	ma
noon	trưa
get	được
dark	tối
course	khóa học
sewing	sự khâu, sự may vá
in addition	thêm vào
copy	sao chép
power	quyền lực
precise	tóm lược
dare	dám
sensible	có óc xét đoán; hiểu, nhận biết được
pleasantly	vui vẻ, dễ thương; thân mật
precious	quí
cook	nấu ăn
cool	mát mẻ
sell	bán
continued	tiếp tục
pickup	nhặt lên
suspect	nghi ngờ
brain	óc
transformation	chuyển đổi
apologize	xin lỗi
amazed	kinh ngạc, sửng sốt
help	Cứu giúp
depth	chiều sâu
massive	to lớn
located	định vị
self	tự
asset	tài sản
owe	nợ
insulting	lăng mạ, xỉ nhục
minimum	tối thiểu
date	ngày
magic	ma thuật
dress	trang phục
reveal	tiết lộ
data	dữ liệu
theoretical	lý thuyết
corn	Ngô
onion	củ hành
own	sở hữu
sound	âm thanh
drum	trống
sales	bán hàng
translate	dịch
drug	thuốc uống
means (PL)	nghĩa là (PL)
norm	định mức
barrier	rào chắn
realistic	thực tế
create	tạo nên
criminal	phạm tội
blow	thổi
sunny	nắng
climbing	sự leo trèo
activist	nhà hoạt động
development	phát triển
curious	Hiếu kỳ
proud	tự hào
bitterly	đắng, đắng cay, chua xót
like	như
resource	tài nguyên
earthquake	động đất
nightmare	ác mộng
cord	dây
core	cốt lõi
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
Senate	Thượng nghị viện
proposed	đề xuất
council	hội đồng
fraud	gian lận
ground	đất
visitor	khách thăm quan
send	gửi
concrete	bê tông
here	đây
note	chú thích
everybody	mọi người
shrimp	con tôm
purpose	mục đích
regret	hối tiếc
linh	aa
line	hàng
penalty	hình phạt
link	liên kết
snake	con rắn
scale	tỉ lệ
hero	anh hùng
riding	môn thể thao cưỡi ngựa, sự đi xe
recovery	phục hồi
hers	của cô ấy
security	Bảo vệ
contributor	người đóng góp
buck	buck
organize	tổ chức
station	ga tàu
disappointing	làm chán ngán, làm thất vọng
herb	thảo mộc
limb	chân tay
nose	mũi
factory	nhà máy
cost	Giá cả
will	sẽ
confidence	sự tự tin
confidently	tự tin
fishing	đánh bắt cá
implementation	thực hiện
smoke	hút thuốc lá
follow	theo
intent	ý định
African	Châu Phi
contrasting	tương phản
o’clock	đúng giờ
washing	sự tắm rửa, sự giặt
tuesday	thứ 3
compliance	sự tuân thủ
treaty	Hiệp ước
swollen	sưng phồng, phình căng
challenge	thử thách
dignity	phẩm giá
unimportant important	không quan trọng
harmless	không có hại
intend	dự định
wild	hoang dã
snap	chụp nhanh
associated with	liên kết với
must modal	phải, cần, nên làm
govern	quản lý
numerous	nhiều
analyse	phân tích
resemble	giống
your	của bạn
explanation	giải trình
remote	xa
rider	người lái
without	không có
youth	thiếu niên
these	những
graduation	tốt nghiệp
sovereignty	chủ quyền
calculate	tính toán
authorize	cho phép
prison	nhà tù
such as	đến nỗi, đến mức
sister	em gái
organizational	tổ chức
trauma	chấn thương
audience	thính giả
thus	do đó
sexually	tình dục
possess	sở hữu
coup	cuộc đảo chính
neutral	Trung tính
analysis	phân tích
fashionable	đúng mốt, hợp thời trang
hoanloose	lỏng, không chặt
lion	sư tử
apparent	rõ ràng
journalism	báo chí
journalist	nhà báo
correlation	tương quan
exposure	Phơi bày
historically	lịch sử
dawn	bình minh
wing	canh
much	nhiều
wine	rượu nho
wind	gió
chapter	chương
commodity	hàng hóa
flight	chuyến bay
independent	độc lập
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
achieve	Hoàn thành
ahead	phía trước
anybody	bất kỳ ai
milligram	mi-li-gam
unable able	không thể, không có khẳ năng
yellow	màu vàng
according to	theo, y theo
alleged	cáo buộc
unsteady	không chắc, không ổn định
weekly	hàng tuần
economically	kinh tế
heve	áchheve
headline	tiêu đề
committee	ủy ban
union	liên hiệp
ruined	bị hỏng, bị đổ nát, bị phá sản
printing	sự in, thuật in, kỹ sảo in
wipe	lau
freshman	sinh viên năm nhất
subtle	tế nhị
component	thành phần
photograph	ảnh chụp
overwhelm	quá tải
suite	suite
blue	màu xanh da trời
consultant	tư vấn
unprecedented	chưa từng có
combined	kết hợp
god	thần, chúa
wrap	bọc
yours	của bạn
novel	cuốn tiểu thuyết
discuss	bàn luận
liberal	tự do
standard	Tiêu chuẩn
acceptable	chấp nhận được
harmony	hòa hợp
correct	chính xác
reader	người đọc
sharply	mạnh
chill	làm lạnh
swollen swell	phồng lên, sưng lên
Jewish	Người Do thái
dominate	thống trị
deadly	chết người
wish	muốn
institution	tổ chức
pad	tập giấy
wise	khôn ngoan
ambition	tham vọng
exceed	quá
pan	chảo
conversation	cuộc hội thoại
area	khu vực
fall over	ngã lộn nhào, bị đổ
murder	giết người
unsuccessful successful	không thành công, không thành đạt
pat	vỗ vỗ
invitation	lời mời
pay	trả
enormous	to lớn
